PERMNO,date,TICKER,PRC,VOL,RET
14593,22-11-91,AAPL,51.25,874991,0.004902
14593,25-11-91,AAPL,51.25,702658,0
14593,26-11-91,AAPL,51.5,1246695,0.004878
14593,27-11-91,AAPL,51,566310,-0.009709
14593,29-11-91,AAPL,50.75,305320,-0.004902
14593,02-12-91,AAPL,51.75,1064648,0.019704
14593,03-12-91,AAPL,50.5,920103,-0.024155
14593,04-12-91,AAPL,50.5,721261,0
14593,05-12-91,AAPL,50,887505,-0.009901
14593,06-12-91,AAPL,48.75,1761059,-0.025
14593,09-12-91,AAPL,49.125,875868,0.007692
14593,10-12-91,AAPL,49.125,1096427,0
14593,11-12-91,AAPL,49,756556,-0.002545
14593,12-12-91,AAPL,49.375,809149,0.007653
14593,13-12-91,AAPL,50.375,851259,0.020253
14593,16-12-91,AAPL,50.5,690888,0.002481
14593,17-12-91,AAPL,50.5,875303,0
14593,18-12-91,AAPL,51.75,1669794,0.024752
14593,19-12-91,AAPL,50.75,1031279,-0.019324
14593,20-12-91,AAPL,50.25,1146880,-0.009852
14593,23-12-91,AAPL,51.5,922448,0.024876
14593,24-12-91,AAPL,52.25,1686516,0.014563
14593,26-12-91,AAPL,54.875,1202918,0.050239
14593,27-12-91,AAPL,55,1501033,0.002278
14593,30-12-91,AAPL,56.75,1644758,0.031818
14593,31-12-91,AAPL,56.375,1201621,-0.006608
14593,02-01-92,AAPL,59.5,2064078,0.055432
14593,03-01-92,AAPL,59,1707219,-0.008403
14593,06-01-92,AAPL,58,1024960,-0.016949
14593,07-01-92,AAPL,59.125,1268166,0.019397
14593,08-01-92,AAPL,60.5,2086540,0.023256
14593,09-01-92,AAPL,62.25,1868016,0.028926
14593,10-01-92,AAPL,62.25,1766090,0
14593,13-01-92,AAPL,62,968194,-0.004016
14593,14-01-92,AAPL,64.5,2442164,0.040323
14593,15-01-92,AAPL,63.5,2926059,-0.015504
14593,16-01-92,AAPL,62.75,2701594,-0.011811
14593,17-01-92,AAPL,64.75,7650900,0.031873
14593,20-01-92,AAPL,64,1876980,-0.011583
14593,21-01-92,AAPL,61.125,1737541,-0.044922
14593,22-01-92,AAPL,63.5,1654145,0.038855
14593,23-01-92,AAPL,64.5,1248159,0.015748
14593,24-01-92,AAPL,64.625,1589366,0.001938
14593,27-01-92,AAPL,64.5,749642,-0.001934
14593,28-01-92,AAPL,65.25,1554241,0.011628
14593,29-01-92,AAPL,63.25,1294756,-0.030651
14593,30-01-92,AAPL,63.75,779918,0.007905
14593,31-01-92,AAPL,64.75,1293360,0.015686
14593,03-02-92,AAPL,65.75,1416876,0.015444
14593,04-02-92,AAPL,65.75,1726910,0
14593,05-02-92,AAPL,66.125,1446192,0.005703
14593,06-02-92,AAPL,64.125,834801,-0.030246
14593,07-02-92,AAPL,64,1265259,-0.001949
14593,10-02-92,AAPL,63.125,773804,-0.013672
14593,11-02-92,AAPL,62.875,1111380,-0.00396
14593,12-02-92,AAPL,65.25,1235111,0.037773
14593,13-02-92,AAPL,64.25,681640,-0.015326
14593,14-02-92,AAPL,64.125,649510,-0.000078
14593,18-02-92,AAPL,62.75,607042,-0.021442
14593,19-02-92,AAPL,62,875633,-0.011952
14593,20-02-92,AAPL,64.625,1121210,0.042339
14593,21-02-92,AAPL,65,1357043,0.005803
14593,24-02-92,AAPL,66.125,1536972,0.017308
14593,25-02-92,AAPL,68.5,2035507,0.035917
14593,26-02-92,AAPL,69.875,2012286,0.020073
14593,27-02-92,AAPL,68.5,1095085,-0.019678
14593,28-02-92,AAPL,67.5,810270,-0.014599
14593,02-03-92,AAPL,67.25,799127,-0.003704
14593,03-03-92,AAPL,66.375,888719,-0.013011
14593,04-03-92,AAPL,65,1032298,-0.020716
14593,05-03-92,AAPL,63.5,2116259,-0.023077
14593,06-03-92,AAPL,64,1201458,0.007874
14593,09-03-92,AAPL,63.75,974519,-0.003906
14593,10-03-92,AAPL,63.75,1114753,0
14593,11-03-92,AAPL,63.25,1177150,-0.007843
14593,12-03-92,AAPL,62.75,1367178,-0.007905
14593,13-03-92,AAPL,63.125,708506,0.005976
14593,16-03-92,AAPL,63.375,503806,0.00396
14593,17-03-92,AAPL,62.875,762158,-0.00789
14593,18-03-92,AAPL,63.75,725076,0.013917
14593,19-03-92,AAPL,63,1059640,-0.011765
14593,20-03-92,AAPL,63.25,485568,0.003968
